CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,442000,1636.848739,3.703277690045249,-26.855279835164826,-4.922478484837318,-60.944908326991836,183.296488253
1,546000,2022.299219,3.7038447234432232,-27.337562918367333,-4.055816765260393,-73.96783862861203,148.36058274
1,650000,2407.917232,3.704488049230769,-21.195061919354828,-2.64091558957486,-113.59696659153525,124.600513064
1,806000,2986.411826,3.7052255905707194,-8.581346179999983,-0.8621276973157829,-347.9762927627125,100.465320852
1,949000,3516.627788,3.7056141074815594,8.810901505882368,0.7517329636386029,399.0778833854964,85.318507208
1,1053000,3901.982207,3.7055861415004747,15.221108328947372,1.1703806657937723,256.326859087795,76.891947715
1,1157000,4287.245445,3.705484394987035,30.228536521739148,2.1154634609338663,141.8128961053129,69.982331411
1,1300000,4817.41979,3.7057075307692307,49.74600962903227,3.0982679743267223,96.82829325477967,62.281738725
1,1456000,5395.58641,3.705759896978022,80.5822294909091,4.481002664314525,66.94930185806797,55.607826845
1,1586000,5876.821815,3.7054362011349307,103.43177980000003,5.280616628193357,56.81154704514843,51.054101925
1,1742000,6454.805603,3.7053993128587828,166.03271408695653,7.717950649206624,38.870422167164136,46.484517775
1,1846000,6839.789334,3.7051946554712893,207.24161290697677,9.091083298173988,32.99936763974622,43.867074622
1,1950000,7224.911495,3.705082817948718,244.80400702439027,10.166367217558225,29.50906588165271,41.528598086
4,507000,3145.148608,6.203448930966469,26.582389052631594,2.5359662792589166,118.29810295729514,95.400239393
4,650000,4038.663472,6.213328418461539,42.36781463513515,3.147819816462444,95.3040572497391,74.297431755
4,754000,4691.238331,6.2218015,65.2466838730159,4.1734064466023675,71.88372468352189,63.9635028
4,845000,5260.666,6.225640236686391,76.18278210714288,4.345685482166231,69.03398813170816,57.04288242
4,962000,5963.029219,6.198575071725572,98.11386288000004,4.937565228868418,60.75869099328404,50.324847926
4,1066000,6642.311524,6.231061467166979,131.92563260000006,5.959943390739416,50.336048571558784,45.176538276
4,1222000,7599.169158,6.218632698854337,167.96842446153852,6.632904462852019,45.229054885407756,39.488996126
4,1404000,8698.677801,6.1956394594017095,227.75269764705888,7.857153597919738,38.181765987039896,34.498619244
4,1508000,9361.83492,6.208113342175066,275.0038920967742,8.815443918034976,34.03118467877135,32.055706015
4,1586000,9830.586231,6.198351974148801,297.663452,9.086546071423438,33.015845365433115,30.526240324
4,1690000,10496.483678,6.2109370875739645,348.12417642857145,9.952464337603656,30.14328811674332,28.588834133
4,1794000,11056.239404,6.162898218506132,401.65513774074077,10.902005363034187,27.517873089406155,27.142701135
4,1898000,11797.553974,6.215781861959958,500.93126384000004,12.742372602949072,23.543496124934265,25.437367405
4,2002000,12413.621881,6.200610330169829,568.2577497916667,13.737962844405294,21.837298833733072,24.17558379
4,2106000,13087.292239,6.214288812440646,670.5848015454546,15.37679949048178,19.509911681276694,22.930432445
4,2210000,13701.758392,6.199890675113122,798.4456651904762,17.488103789686082,17.15451850056667,21.902684869
4,2314000,14229.473984,6.149297313742437,1082.4984283809524,22.827842585439505,13.141846360520804,21.088106908
6,520000,4197.389224,8.071902353846154,115.19352684507047,8.23521146141628,36.42893705954776,71.49022768
6,624000,5036.768409,8.071744245192308,157.53218594915256,9.385469029975692,31.964305570861494,59.578104458
6,728000,5873.255154,8.06765817857143,197.75562720000005,10.104552735226731,29.689587244582622,51.09615781
6,819000,6606.619833,8.066690882783883,223.08485991111115,10.133828720140706,29.603815920409062,45.425891852
6,936000,7549.828871,8.06605648611111,283.4117232564103,11.266077778034068,26.62861076504569,39.751629356
6,1040000,8366.333872,8.044551799999999,313.2182999714286,11.23614814347601,26.699541174542766,35.87321732
6,1144000,9225.092251,8.063891827797203,429.89619528125,13.986098692861134,21.449870088013018,32.533664746
6,1248000,10064.749891,8.064703438301281,486.8522990000001,14.518244696679117,20.663655026328463,29.820634978
6,1378000,11116.875417,8.06739870609579,561.2259218846154,15.152630436064253,19.798542653424736,26.999163519
6,1456000,11736.630022,8.060872267857143,624.23067856,15.964009602052224,18.792271332725463,25.573894636
6,1560000,12569.130216,8.057134753846153,735.29323,17.559456136757785,17.084811605981358,23.880889175
6,1664000,13414.416026,8.061548092548078,800.7025103181818,17.918487946844106,16.742484125332545,22.378458561
6,1820000,14672.079034,8.061581886813187,973.4849422500001,19.917839216365216,15.061874771712644,20.460346485
6,1976000,15922.721724,8.05805755263158,1209.1950833333333,22.79733839021206,13.1594309329024,18.85331714
6,2080000,16782.277915,8.068402843749999,1389.8404451764707,24.860195337046463,12.067483619203202,17.887085833
6,2236000,18045.112782,8.07026510822898,1828.326806,30.41535094212962,9.863440358482169,16.635620526
6,2340000,18878.610534,8.06778227948718,2006.470102666667,31.90885667019587,9.401778418473134,15.902981374
6,2470000,19930.906192,8.0691927902834,2425.6698552666667,36.540592668951675,8.210047459216725,15.064124489
6,2530000,20416.496529,8.069761473913044,2723.7977270714287,40.05406206734392,7.489877044071144,14.705226335
6,2600000,20989.295459,8.07280594576923,3123.8559514285716,44.688074378596184,6.713200426995533,14.305420952
6,2730000,22023.197768,8.06710540952381,3577.778192076923,48.775590943376905,6.150617433795256,13.632927567
