PID   USER     TIME  COMMAND
    1 root      0:00 bash /init
    2 root      0:00 [kthreadd]
    4 root      0:00 [kworker/0:0H]
    5 root      0:00 [kworker/u8:0]
    6 root      0:00 [ksoftirqd/0]
    7 root      0:00 [rcu_preempt]
    8 root      0:00 [rcu_sched]
    9 root      0:00 [rcu_bh]
   10 root      0:00 [rcuop/0]
   11 root      0:00 [rcuos/0]
   12 root      0:00 [rcuob/0]
   13 root      0:00 [migration/0]
   14 root      0:00 [lru-add-drain]
   15 root      0:00 [cpuhp/0]
   16 root      0:00 [cpuhp/1]
   17 root      0:00 [migration/1]
   18 root      0:00 [ksoftirqd/1]
   20 root      0:00 [kworker/1:0H]
   21 root      0:00 [rcuop/1]
   22 root      0:00 [rcuos/1]
   23 root      0:00 [rcuob/1]
   24 root      0:00 [cpuhp/2]
   25 root      0:00 [migration/2]
   26 root      0:00 [ksoftirqd/2]
   27 root      0:00 [kworker/2:0]
   28 root      0:00 [kworker/2:0H]
   29 root      0:00 [rcuop/2]
   30 root      0:00 [rcuos/2]
   31 root      0:00 [rcuob/2]
   32 root      0:00 [cpuhp/3]
   33 root      0:00 [migration/3]
   34 root      0:00 [ksoftirqd/3]
   35 root      0:00 [kworker/3:0]
   36 root      0:00 [kworker/3:0H]
   37 root      0:00 [rcuop/3]
   38 root      0:00 [rcuos/3]
   39 root      0:00 [rcuob/3]
   40 root      0:00 [netns]
   42 root      0:00 [smd_channel_clo]
   43 root      0:00 [kworker/u9:0]
   44 root      0:00 [kworker/u8:1]
   45 root      0:00 [msm_watchdog]
   46 root      0:00 [smsm_cb_wq]
   47 root      0:00 [irq/131-cpr]
   48 root      0:00 [oom_reaper]
   49 root      0:00 [writeback]
   50 root      0:00 [kcompactd0]
   51 root      0:00 [crypto]
   52 root      0:00 [bioset]
   53 root      0:00 [kblockd]
   54 root      0:00 [irq/63-tsens-up]
   55 root      0:00 [edac-poller]
   56 root      0:00 [system]
   57 root      0:00 [devfreq_wq]
   58 root      0:00 [governor_msm_ad]
   59 root      0:00 [cfg80211]
   60 root      0:00 [kworker/0:2]
   86 root      0:00 [kswapd0]
   87 root      0:00 [vmstat]
   88 root      0:00 [bioset]
  118 root      0:00 [rot_workq_0]
  119 root      0:00 [mdss_dsi_event]
  120 root      0:00 [mdss_dsi_dba]
  121 root      0:00 [mem_share_svc]
  122 root      0:00 [qmi_hndl0000000]
  123 root      0:00 [diag_real_time_]
  124 root      0:00 [diag_wq]
  125 root      0:00 [msm_ipc_router]
  127 root      0:00 [DIAG_USB_diag]
  128 root      0:00 [diag_cntl_wq]
  129 root      0:00 [diag_dci_wq]
