CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,960000,3117.129249,3.247009634375,230.58790206428753,18.4955317354171,13.516778191419874,80.210330073
1,1094400,3553.66027,3.247131094663742,279.2931252866286,19.649928495769636,12.722692606938576,70.355933307
1,1248000,4050.550875,3.2456337139423077,387.5475528054591,23.921162100088836,10.450997278224689,61.724456591
1,1344000,4364.52514,3.247414538690476,437.1779552570351,25.043831306087927,9.98249816270034,57.285210759
1,1401000,4551.495621,3.2487477665952893,465.1631829884445,25.552215238661972,9.783887528535516,54.93172326
1,1497600,4551.495621,3.039193122996795,475.73244772692595,26.132682174634606,9.566564898671583,54.931468937
4,768000,2493.865092,3.247220171875,178.69050132037,17.91437851684098,13.955270609303,100.253669806
4,902400,2927.057722,3.2436366600177307,221.71678633882357,18.938843844655857,13.200383405164658,85.419079707
4,998400,3242.037556,3.2472331290064105,301.8104988955132,23.275623984079566,10.740850607098611,77.119994398
4,1094400,3553.912858,3.247361895102339,354.39658097687146,24.932508181601666,10.027069806979203,70.351999765
4,1209600,3927.853193,3.247233129133598,376.4535877119524,23.963640467184387,10.432471658150101,63.656294559
