PID   USER     TIME  COMMAND
    1 root      0:02 bash /init kswitch
    2 root      0:00 [kthreadd]
    3 root      0:00 [ksoftirqd/0]
    5 root      0:00 [kworker/0:0H]
    7 root      0:00 [rcu_preempt]
    8 root      0:00 [rcu_sched]
    9 root      0:00 [rcu_bh]
   10 root      0:00 [rcuop/0]
   11 root      0:00 [rcuos/0]
   12 root      0:00 [rcuob/0]
   13 root      0:00 [migration/0]
   14 root      0:00 [migration/1]
   15 root      0:00 [ksoftirqd/1]
   17 root      0:00 [kworker/1:0H]
   18 root      0:00 [rcuop/1]
   19 root      0:00 [rcuos/1]
   20 root      0:00 [rcuob/1]
   21 root      0:00 [migration/2]
   22 root      0:00 [ksoftirqd/2]
   23 root      0:00 [kworker/2:0]
   24 root      0:00 [kworker/2:0H]
   25 root      0:00 [rcuop/2]
   26 root      0:00 [rcuos/2]
   27 root      0:00 [rcuob/2]
   28 root      0:00 [migration/3]
   29 root      0:00 [ksoftirqd/3]
   30 root      0:00 [kworker/3:0]
   31 root      0:00 [kworker/3:0H]
   32 root      0:00 [rcuop/3]
   33 root      0:00 [rcuos/3]
   34 root      0:00 [rcuob/3]
   35 root      0:00 [netns]
   36 root      0:00 [perf]
   37 root      0:00 [smd_channel_clo]
   38 root      0:00 [dsps_smd_trans_]
   39 root      0:00 [lpass_smd_trans]
   40 root      0:00 [mpss_smd_trans_]
   41 root      0:00 [wcnss_smd_trans]
   42 root      0:00 [rpm_smd_trans_g]
   43 root      0:00 [msm_watchdog]
   45 root      0:00 [rpm_requests]
   46 root      0:00 [smem_native_mps]
   47 root      0:00 [mpss_smem_glink]
   48 root      0:00 [smem_native_lpa]
   49 root      0:00 [lpass_smem_glin]
   50 root      0:00 [smem_native_dsp]
   51 root      0:00 [dsps_smem_glink]
   52 root      0:00 [smem_native_rpm]
   53 root      0:00 [rpm_smem_glink_]
   55 root      0:00 [deferwq]
   56 root      0:00 [irq/270-cpr3]
   57 root      0:00 [irq/271-cpr3_ce]
   58 root      0:00 [irq/272-cpr3]
   59 root      0:00 [mpm]
   61 root      0:00 [writeback]
   62 root      0:00 [kcompactd0]
   63 root      0:00 [crypto]
   64 root      0:00 [bioset]
   65 root      0:00 [kblockd]
   68 root      0:00 [system]
   69 root      0:00 [ipa_power_mgmt]
   70 root      0:00 [sps_ipa_power_m]
