Frequency (kHz),CPU 1 power_mean,CPU 6 power_mean,CPU 7 power_mean
940800,,227.68677103437787,
864000,189.70901481530652,,
806400,,,261.0440011600128
652800,,160.7183613215245,
614400,147.75295487497254,,
576000,140.42820435812695,,
300000,128.33112629579963,,
2400000,,,894.9207082666793
2304000,,,812.7808850525455
2208000,,701.0665816045264,
2188800,,,721.5071017659138
2092800,,724.1683968072667,
1996800,,,674.2172847176508
1900800,,614.1760996292728,
1804800,253.84510160281087,,
1766400,,,482.3960337834584
1728000,,480.55826432554807,
1651200,252.45693997393218,,
1516800,203.6147087695481,,
1478400,,344.85488666787217,
1401600,,,423.9346605571667
1363200,254.59188925370563,,
1152000,,311.87832312641746,
1094400,,,316.65455266510355
1075200,182.14642535163645,,
