CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.962856,3.7132095200000004,108.93705519651303,24.449669451946253,10.225087111764587,224.438501737
1,576000,2138.799535,3.713193637152778,134.307117355485,15.699846223392036,15.923722846884429,116.895117195
1,614400,2280.980274,3.7125329980468753,137.53961398733037,15.075545158857134,16.583148228846692,109.608749958
1,864000,3208.254196,3.7132571712962963,154.13634503731623,12.011763800420805,20.81293007037333,77.929470804
1,1075200,3350.263331,3.115944318266369,164.46967487212805,12.273701925557303,20.368752762312862,74.625926847
1,1363200,5061.650908,3.7130655134976522,199.0511201464797,9.831963764661488,25.42727027723209,49.394164461
1,1516800,5631.899076,3.713013631329114,211.88054823688645,9.406353529444313,26.57778056262031,44.394606337
1,1651200,6130.155461,3.7125457007025195,223.82673692282108,9.12875984598797,27.385976213392595,40.784939152
1,1804800,6700.616457,3.7126642603058513,277.60618486580415,10.358492887937416,24.1347851183185,37.313624309
6,652800,4992.112462,7.647231099877452,194.64336363700514,9.750093372117773,25.640780088826844,50.092092481
6,940800,7330.303475,7.791564067814626,227.3065584769038,7.755351152662849,32.23580661646261,34.118466289
6,1152000,8596.382642,7.462137710069445,246.4133988461914,7.169531361733478,34.86978261010829,29.095541863
6,1478400,11508.009575,7.784097385687229,346.5871688817908,7.534058478120671,33.1826466075375,21.737845929
6,1728000,13465.474523,7.792519978587963,520.4937210037535,9.67034587713791,25.85222940071213,18.579178743
6,1900800,14817.449028,7.795375119949496,506.08880987342434,8.544852884969092,29.257379075509302,16.884097649
6,2092800,16310.020877,7.793396825783639,666.9257704674334,10.230433074066303,24.436893158877016,15.339687754
6,2208000,17217.630854,7.797840060688405,756.8350143684387,10.999087792717246,22.729157609372923,14.533005984
7,806400,6280.144695,7.787877845982143,213.972281178274,8.520854004312927,29.33978212435745,39.822232849
7,1094400,8532.132009,7.796173253837719,288.04175974431047,8.443649300984463,29.608051103076008,29.313976239
7,1401600,10932.785236,7.800217776826484,382.857211953289,8.759432263509757,28.540662508625786,22.879109992
7,1766400,13758.186121,7.788828193500906,539.9743996073473,9.819027531612091,25.460769836435617,18.184246399
7,1996800,15558.874782,7.791904438100962,647.8228669420159,10.417631590055729,23.997777022431894,16.080987754
7,2188800,17063.68166,7.79590719115497,728.3285552734138,10.679909722597156,23.408437570500794,14.663587807
7,2304000,17961.060421,7.795599141059027,789.3466116065455,10.996620786916642,22.734256717976525,13.931295359
7,2400000,18711.174313,7.796322630416666,830.4280865887116,11.104908103947572,22.512568105910756,13.372510255
