CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,960000,3104.471681,3.2338246677083333,89.85719861774989,7.236846120695363,34.54543537758385,80.53718825
1,1305600,4239.731371,3.2473432682291667,114.2018432730554,6.73460015669192,37.12172871192425,58.97102852
1,1497600,4863.245536,3.247359465811966,161.39578698730378,8.297562807106056,30.1293290345328,51.411272636
1,1708800,5549.266387,3.2474639437031834,208.72479008959203,9.40430616064538,26.58356669056418,45.05600967
1,1958400,6354.532052,3.2447569709967317,262.5989406186473,10.332297842194864,24.195973036999984,39.34630436
1,2016000,6546.902006,3.2474712331349207,284.2798800118288,10.8566781964047,23.02730130499678,38.190104048
4,768000,2493.914848,3.247284958333333,60.93459864591943,6.1088418622758835,40.9242873913356,100.252434545
4,998400,3229.056341,3.2342311107772437,75.56135572913341,5.850659557364874,42.730225122276565,77.429256012
4,1171200,3803.322583,3.247372424009563,107.5474748373255,7.070054253667127,35.360407576834206,65.738914506
4,1305600,4239.731371,3.2473432682291667,129.71670824895287,7.649773028264278,32.68070818262233,58.972919769
4,1459200,4729.563556,3.241203094846491,169.88875431007605,8.981313920713701,27.835570853772555,52.865853053
