PID   USER     TIME  COMMAND
    1 root      0:00 bash /init
    2 root      0:00 [kthreadd]
    3 root      0:00 [rcu_gp]
    4 root      0:00 [rcu_par_gp]
    6 root      0:00 [kworker/0:0H-ev]
    7 root      0:00 [kworker/u16:0+L]
    8 root      0:00 [mm_percpu_wq]
    9 root      0:00 [ksoftirqd/0]
   10 root      0:00 [rcu_preempt]
   11 root      0:00 [rcu_sched]
   12 root      0:00 [rcu_bh]
   13 root      0:00 [rcuop/0]
   14 root      0:00 [rcuos/0]
   15 root      0:00 [rcuob/0]
   16 root      0:00 [migration/0]
   17 root      0:00 [cpuhp/0]
   18 root      0:00 [cpuhp/1]
   19 root      0:00 [migration/1]
   20 root      0:00 [ksoftirqd/1]
   21 root      0:00 [kworker/1:0-mm_]
   22 root      0:00 [kworker/1:0H-ev]
   23 root      0:00 [rcuop/1]
   24 root      0:00 [rcuos/1]
   25 root      0:00 [rcuob/1]
   26 root      0:00 [cpuhp/2]
   27 root      0:00 [migration/2]
   28 root      0:00 [ksoftirqd/2]
   29 root      0:00 [kworker/2:0-mm_]
   30 root      0:00 [kworker/2:0H-ev]
   31 root      0:00 [rcuop/2]
   32 root      0:00 [rcuos/2]
   33 root      0:00 [rcuob/2]
   34 root      0:00 [cpuhp/3]
   35 root      0:00 [migration/3]
   36 root      0:00 [ksoftirqd/3]
   37 root      0:00 [kworker/3:0-mm_]
   38 root      0:00 [kworker/3:0H-ev]
   39 root      0:00 [rcuop/3]
   40 root      0:00 [rcuos/3]
   41 root      0:00 [rcuob/3]
   42 root      0:00 [cpuhp/4]
   43 root      0:00 [migration/4]
   44 root      0:00 [ksoftirqd/4]
   45 root      0:00 [kworker/4:0-mm_]
   47 root      0:00 [kworker/4:0H-ev]
   48 root      0:00 [rcuop/4]
   49 root      0:00 [rcuos/4]
   50 root      0:00 [rcuob/4]
   51 root      0:00 [cpuhp/5]
   52 root      0:00 [migration/5]
   53 root      0:00 [ksoftirqd/5]
   54 root      0:00 [kworker/5:0-mm_]
   55 root      0:00 [kworker/5:0H-ev]
   56 root      0:00 [rcuop/5]
   57 root      0:00 [rcuos/5]
   58 root      0:00 [rcuob/5]
   59 root      0:00 [cpuhp/6]
   60 root      0:00 [migration/6]
   61 root      0:00 [ksoftirqd/6]
   62 root      0:00 [kworker/6:0-mm_]
   63 root      0:00 [kworker/6:0H-ev]
   64 root      0:00 [rcuop/6]
   65 root      0:00 [rcuos/6]
   66 root      0:00 [rcuob/6]
   67 root      0:00 [cpuhp/7]
   68 root      0:00 [migration/7]
   69 root      0:00 [ksoftirqd/7]
   70 root      0:00 [kworker/7:0-mm_]
   71 root      0:00 [kworker/7:0H-ev]
   72 root      0:00 [rcuop/7]
   73 root      0:00 [rcuos/7]
   74 root      0:00 [rcuob/7]
   75 root      0:00 [netns]
   76 root      0:00 [rcu_tasks_kthre]
   77 root      0:00 [kworker/u16:1+M]
   78 root      0:00 [kworker/u17:0-i]
   79 root      0:00 [ipa_usb_wq]
   80 root      0:00 [msm_watchdog]
   81 root      0:00 [glink_rpm-glink]
   82 root      0:00 [oom_reaper]
   83 root      0:00 [writeback]
   84 root      0:00 [kcompactd0]
   85 root      0:00 [crypto]
   88 root      0:00 [kblockd]
   89 root      0:00 [blk_crypto_wq]
   90 root      0:00 [irq/13-tsens-up]
   91 root      0:00 [irq/14-tsens-cr]
   92 root      0:00 [md]
   93 root      0:00 [devfreq_wq]
   94 root      0:00 [ion-pool-uncach]
   95 root      0:00 [ion-pool-cached]
   96 root      0:00 [governor_msm_ad]
   97 root      0:00 [system]
   99 root      0:00 [irq/204-qpnp_lc]
  100 root      0:00 [irq/56-arm-smmu]
  101 root      0:00 [irq/57-arm-smmu]
  102 root      0:00 [irq/54-cpr3]
  103 root      0:00 [irq/56-arm-smmu]
  104 root      0:00 [irq/57-arm-smmu]
  105 root      0:00 [cfg80211]
  106 root      0:00 [irq/58-arm-smmu]
  107 root      0:00 [ipa_power_mgmt]
  108 root      0:00 [sps_ipa_power_m]
  109 root      0:00 [ipawq36]
  110 root      0:00 [iparepwq36]
  111 root      0:00 [kworker/u17:1-i]
  112 root      0:00 [ipawq33]
  113 root      0:00 [iparepwq33]
  114 root      0:00 [ipawq34]
  115 root      0:00 [iparepwq34]
