CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1102.385931,3.67461977,259.02480321476617,70.49502557342237,4.255619422217847,272.155502865
1,576000,2126.076326,3.691104732638889,282.32723051645274,39.84049771728173,7.530026410033229,141.114612446
1,748800,2767.093721,3.6953708880876075,295.4290048097378,32.03201057533121,9.365631273581021,108.425408656
1,1017600,3763.926528,3.6988271698113206,318.9741841928233,25.425206305354248,11.799314286658259,79.70929174
1,1209600,4476.208949,3.7005695676256614,336.04083012055804,22.52366323430157,13.31932540809464,67.026567058
1,1363200,5045.917852,3.7015242458920183,352.6518065995551,20.968544590347943,14.307144623575516,59.459626175
1,1516800,5615.34862,3.7021022020042196,365.2539992170188,19.51504693054646,15.372753192328572,53.428701595
1,1593600,5900.517279,3.7026338347138554,372.39685440735144,18.93533990793895,15.843391323237885,50.847206908
1,1708800,6328.312872,3.7033666151685396,389.9734741286084,18.48890959408344,16.225943367476994,47.410685138
6,300000,2328.360989,7.7612032966666655,290.8287059736294,37.47695541596815,8.004919200885146,128.862641982
6,652800,5074.854098,7.773979929534314,347.293742247282,20.53612962244719,14.608400195920192,59.131873467
6,768000,5975.381429,7.780444569010417,367.5057927680909,18.45729843404882,16.253732964873105,50.223149668
6,979200,7614.213198,7.775953020833334,414.3328454092564,16.33095969572881,18.37001655686296,39.415073839
6,1017600,7917.238467,7.7803050972877354,422.14693262954,16.0025465176398,18.747016274522707,37.907527642
6,1209600,9402.914904,7.77357382936508,470.56682505514283,15.021412174882492,19.971491129285038,31.921953217
6,1363200,10606.703437,7.7807390236208915,549.776127411125,15.559596327949755,19.28070585360296,28.301695094
6,1516800,11804.052725,7.78220775646097,613.96232799156,15.613728847412446,19.21385999025575,25.431086136
6,1708800,13291.980505,7.778546643843633,729.0297925248201,16.46560379075861,18.219799517365786,22.585639105
6,1900800,14792.170011,7.782075973800505,868.1049595995374,17.620438856831445,17.025682642614203,20.297590357
6,2016000,15683.814304,7.779669793650793,967.8731807479332,18.52960669097798,16.190305871201748,19.144663846
6,2112000,16432.053459,7.780328342329545,1069.9254311309583,19.549739270098215,15.345473198144234,18.272057754
6,2208000,17186.067828,7.783545211956522,1194.740946303087,20.875151685998762,14.37115305855305,17.4725339
