CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1101.770545,3.6725684833333334,246.84771026820692,67.21854213322923,4.463054247820351,272.307740105
1,576000,2125.473804,3.6900586875000005,268.0039643111961,37.8303479740491,7.930141171468852,141.155926821
1,748800,2766.481312,3.694553034188034,282.74063822795597,30.663340336661,9.783669903742382,108.450417771
1,1017600,3763.407138,3.698316762971698,307.3495827262082,24.5022450651229,12.243775996960679,79.721094292
1,1209600,4475.407635,3.699907105654762,323.6785413104457,21.699173200181583,13.82541155980494,67.039270235
1,1363200,5045.323826,3.701088487382629,336.9200895657882,20.035800858416113,14.97319733411025,59.467516123
1,1516800,5614.718048,3.701686476793249,353.17197042602834,18.872003243676915,15.8965636094046,53.435733365
1,1593600,5899.821039,3.7021969371234946,360.46582353989606,18.331014441468472,16.365706380184783,50.85368222
1,1708800,6327.378567,3.7028198542837076,375.5340373077302,17.80705523444595,16.847254981254864,47.417952743
6,300000,2327.746741,7.759155803333333,275.49988650468634,35.511056268223726,8.448073122185562,128.896809065
6,652800,5075.111652,7.774374466911764,329.9212122158334,19.508118340770686,15.37821304748904,59.129627373
6,768000,5969.911645,7.773322454427084,348.2261135786081,17.50528257800769,17.137683934156954,50.26987321
6,979200,7614.599726,7.776347759395425,392.23321341002566,15.460002579796738,19.404912673950168,39.415332642
6,1017600,7916.193894,7.779278590801886,404.3245388234667,15.329309498821885,19.57035312145378,37.913379048
6,1209600,9407.927747,7.777718044808202,452.30394240409527,14.43046179495091,20.789355480291512,31.904346706
6,1363200,10599.583083,7.775515759242957,531.0751335995983,15.040223503025453,19.946512094029238,28.320330875
6,1516800,11801.730921,7.780677031250001,594.1338340110901,15.11333488049799,19.8500200235168,25.437593376
6,1708800,13293.747507,7.779580704002809,705.5768705448652,15.934806836577975,18.82671080212639,22.584083325
6,1900800,14784.879996,7.778240738636364,847.8390484313376,17.21821292770087,17.423410969518002,20.30835093
6,2016000,15683.814304,7.779669793650793,941.5068645103468,18.02546632937681,16.643120045725432,19.145337128
6,2112000,16434.754027,7.781607020359848,1031.1489247363472,18.840617485352222,15.923044997502723,18.271480514
6,2208000,17178.195144,7.779979684782609,1157.469231690261,20.231925795677117,14.82804963945152,17.479450202
