CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.804869,3.7126828966666667,43.082843865824756,11.60505841444638,25.85079620336504,269.36611823
1,576000,2138.625719,3.712891873263889,59.34836393652964,8.325783125511247,36.03264647631311,140.286649425
1,768000,2851.602601,3.7130242200520835,70.95251589504787,7.465090899450241,40.187052514269205,105.212490428
1,1017600,3778.194779,3.71284864288522,86.07893245038926,6.835417676395402,43.8890517306621,79.408718043
1,1248000,4633.705574,3.7129051073717947,101.25655365789152,6.556174548620755,45.758391234887426,64.748150236
1,1324800,4918.839154,3.7128918734903387,106.91005293451441,6.521009992053751,46.0051434310894,60.995292894
1,1497600,5560.189046,3.712733070245727,117.19796820803724,6.323961355061447,47.43862006049293,53.959650084
1,1612800,5988.382538,3.7130348077876985,125.13353697160807,6.2694349532149305,47.851202259648886,50.101955918
1,1708800,6344.640893,3.712921870903558,135.90725095733512,6.426884181146415,46.678918048665786,47.288751232
1,1804800,6701.364845,3.713078925642731,155.19738569334834,6.9484750077189865,43.17494121612774,44.771856025
6,300000,2338.397263,7.794657543333333,92.35509516171457,11.850232029686767,25.315959995420425,128.31162167
6,652800,5087.332542,7.7930951930147065,151.14440286311591,8.91548655854636,33.649313251717125,58.986547895
6,806400,6274.444189,7.780808766121032,176.1633853107249,8.42589246822007,35.604536983056654,47.829987221
6,979200,7630.093087,7.792170227736928,220.33430226805808,8.666858038945385,34.61462027552779,39.335037485
6,1094400,8525.391458,7.790014124634502,252.82461679512232,8.900846736786727,33.704658542216656,35.205617434
6,1209600,9423.886411,7.790911384755291,280.6000390646667,8.93716242088656,33.56770145509342,31.850182383
6,1324800,10301.490282,7.775883365036233,316.4146313081739,9.219951999322534,32.538130352744076,29.13882952
6,1555200,12125.621438,7.796824484310699,411.15067601867344,10.179352290639539,29.471423272762266,24.758203949
6,1708800,13301.999734,7.784409956694757,480.19967218434834,10.83784116170815,27.680789515530886,22.569447231
6,1843200,14367.816092,7.7950391124131935,553.7145092549634,11.570328172009011,25.928391618637175,20.895837076
6,1939200,15107.261557,7.790460786406765,616.7520573476667,12.256894448254082,24.476020517801974,19.873293169
6,2169600,16903.313049,7.790981309457965,799.8091598771715,14.207625204931457,21.115421871902292,17.763769056
6,2208000,17199.862401,7.789792754076086,813.1841332995073,14.19767422705959,21.130221415295253,17.459359628
