CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1114.048899,3.71349633,62.82465579,16.91908509,17.73145524,269.3064511
1,576000,2138.945927,3.71344779,78.81607036,11.05517686,27.13660794,140.265517
1,768000,2851.846571,3.713341889,89.16226548,9.380135884,31.98247911,105.2029783
1,1017600,3778.718259,3.713363069,105.59373,8.383900978,35.78286537,79.39771591
1,1248000,4634.278211,3.713363951,119.9286784,7.764184144,38.63895992,64.74001253
1,1324800,4919.323101,3.713257172,124.5972716,7.598998509,39.47888655,60.98848242
1,1497600,5561.013587,3.713283645,135.0320612,7.285172232,41.17953433,53.95142581
1,1612800,5989.099838,3.713479562,141.9594625,7.111547781,42.18490956,50.09562347
1,1708800,6345.580303,3.713471619,153.8045508,7.272172301,41.25314797,47.28190592
1,1804800,6702.412869,3.713659613,172.4615826,7.720214258,38.85902515,44.76483483
6,300000,2337.595549,7.791985163,110.4618122,14.17828734,21.15911414,128.3546508
6,652800,5088.367991,7.794681359,169.3057627,9.984478793,30.04663601,58.97305935
6,806400,6285.881909,7.794992447,195.7311578,9.34451401,32.10439833,47.74157634
6,979200,7632.422531,7.794549153,238.3952035,9.374285402,32.00243935,39.32245811
6,1094400,8527.330093,7.791785538,272.2412312,9.582203642,31.30803844,35.19747395
6,1209600,9423.886411,7.790911385,297.4996497,9.475540697,31.6604624,31.85059447
6,1324800,10326.31144,7.794619144,335.0132346,9.738087227,30.80687131,29.06776874
6,1555200,12120.23271,7.793359509,429.5327144,10.63863101,28.19911695,24.76791791
6,1708800,13316.76136,7.793048551,501.5946966,11.30739916,26.53130006,22.54290015
6,1843200,14362.31329,7.792053651,572.6666716,11.97087401,25.06082678,20.90373791
6,1939200,15097.37809,7.785364114,632.7766664,12.58363618,23.84048582,19.88637833
6,2169600,16909.98253,7.794055368,816.3339055,14.49519961,20.69650699,17.75645911
6,2208000,17197.89039,7.788899634,830.1400293,14.49472907,20.69717886,17.46058322
