PID   USER     TIME  COMMAND
    1 root      0:01 bash /init
    2 root      0:00 [kthreadd]
    3 root      0:00 [rcu_gp]
    5 root      0:00 [kworker/0:0H]
    6 root      0:00 [kworker/u16:0]
    7 root      0:00 [mm_percpu_wq]
    8 root      0:00 [ksoftirqd/0]
    9 root      0:00 [rcu_preempt]
   10 root      0:00 [rcu_sched]
   11 root      0:00 [rcu_bh]
   12 root      0:00 [rcuop/0]
   13 root      0:00 [rcuos/0]
   14 root      0:00 [rcuob/0]
   15 root      0:00 [migration/0]
   16 root      0:00 [watchdog/0]
   17 root      0:00 [cpuhp/0]
   18 root      0:00 [cpuhp/1]
   19 root      0:00 [watchdog/1]
   20 root      0:00 [migration/1]
   21 root      0:00 [ksoftirqd/1]
   23 root      0:00 [kworker/1:0H]
   24 root      0:00 [rcuop/1]
   25 root      0:00 [rcuos/1]
   26 root      0:00 [rcuob/1]
   27 root      0:00 [cpuhp/2]
   28 root      0:00 [watchdog/2]
   29 root      0:00 [migration/2]
   30 root      0:00 [ksoftirqd/2]
   31 root      0:00 [kworker/2:0]
   32 root      0:00 [kworker/2:0H]
   33 root      0:00 [rcuop/2]
   34 root      0:00 [rcuos/2]
   35 root      0:00 [rcuob/2]
   36 root      0:00 [cpuhp/3]
   37 root      0:00 [watchdog/3]
   38 root      0:00 [migration/3]
   39 root      0:00 [ksoftirqd/3]
   40 root      0:00 [kworker/3:0]
   41 root      0:00 [kworker/3:0H]
   42 root      0:00 [rcuop/3]
   43 root      0:00 [rcuos/3]
   44 root      0:00 [rcuob/3]
   45 root      0:00 [cpuhp/4]
   46 root      0:00 [watchdog/4]
   47 root      0:00 [migration/4]
   48 root      0:00 [ksoftirqd/4]
   49 root      0:00 [kworker/4:0]
   50 root      0:00 [kworker/4:0H]
   51 root      0:00 [rcuop/4]
   52 root      0:00 [rcuos/4]
   53 root      0:00 [rcuob/4]
   54 root      0:00 [cpuhp/5]
   55 root      0:00 [watchdog/5]
   56 root      0:00 [migration/5]
   57 root      0:00 [ksoftirqd/5]
   58 root      0:00 [kworker/5:0]
   59 root      0:00 [kworker/5:0H]
   60 root      0:00 [rcuop/5]
   61 root      0:00 [rcuos/5]
   62 root      0:00 [rcuob/5]
   63 root      0:00 [cpuhp/6]
   64 root      0:00 [watchdog/6]
   65 root      0:00 [migration/6]
   66 root      0:00 [ksoftirqd/6]
   68 root      0:00 [kworker/6:0H]
   69 root      0:00 [rcuop/6]
   70 root      0:00 [rcuos/6]
   71 root      0:00 [rcuob/6]
   72 root      0:00 [cpuhp/7]
   73 root      0:00 [watchdog/7]
   74 root      0:00 [migration/7]
   75 root      0:00 [ksoftirqd/7]
   77 root      0:00 [kworker/7:0H]
   78 root      0:00 [rcuop/7]
   79 root      0:00 [rcuos/7]
   80 root      0:00 [rcuob/7]
   81 root      0:00 [netns]
   82 root      0:00 [ksuspend_mon]
   83 root      0:00 [kworker/0:1]
   84 root      0:00 [kworker/u16:1]
   85 root      0:00 [kworker/u17:0]
   86 root      0:00 [ipa_usb_wq]
   87 root      0:00 [msm_watchdog]
   88 root      0:00 [kworker/1:1]
   89 root      0:00 [kworker/6:1]
   90 root      0:00 [kworker/7:1]
   91 root      0:00 [kworker/2:1]
   92 root      0:00 [kworker/3:1]
   93 root      0:00 [kworker/4:1]
   94 root      0:00 [kworker/5:1]
   95 root      0:00 [spi_wdsp]
   96 root      0:00 [qmp_npu_qmp_low]
   97 root      0:00 [qmp_npu_qmp_hig]
   98 root      0:00 [qmp_aop]
   99 root      0:00 [khungtaskd]
  100 root      0:00 [oom_reaper]
  101 root      0:00 [writeback]
  102 root      0:00 [kcompactd0]
  103 root      0:00 [crypto]
  104 root      0:00 [kblockd]
  105 root      0:00 [irq/141-arm-smm]
  106 root      0:00 [irq/142-arm-smm]
  107 root      0:00 [irq/150-arm-smm]
  108 root      0:00 [irq/33-tsens-up]
  109 root      0:00 [irq/34-tsens-cr]
  110 root      0:00 [irq/35-tsens-up]
  111 root      0:00 [irq/36-tsens-cr]
  112 root      0:00 [edac-poller]
  113 root      0:00 [system]
  114 root      0:00 [ipa_power_mgmt]
  115 root      0:00 [transport_power]
  116 root      0:00 [ipa_pm_activate]
  117 root      0:00 [devfreq_wq]
  118 root      0:00 [cfg80211]
