CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1108.147842,3.69382614,90.7000327203245,24.555879025668347,12.217033635261394,270.737267553
1,576000,2132.802502,3.7027821215277776,108.68270704924494,15.288225779852855,19.622944108749774,140.668430102
1,768000,2845.59786,3.705205546875,120.19341114148912,12.672437887862197,23.67342437616864,105.433715272
1,1017600,3772.303746,3.7070594988207546,137.1316009248701,10.90651797400298,27.50648747061956,79.533221376
1,1248000,4627.558654,3.7079796907051286,150.07388417194173,9.729817604410355,30.83305486261277,64.833516225
1,1324800,4912.717388,3.708270975241546,155.3130126673826,9.485109150420307,31.628523746266676,61.070923727
1,1497600,5554.526939,3.7089522829861115,167.35630395858126,9.039706614583116,33.18691776080778,54.014736229
1,1612800,5982.292414,3.709258689236111,175.0163296870652,8.777591454509482,34.17794067481635,50.152985554
1,1708800,6338.876329,3.709548413506554,188.1971616380105,8.907668831925939,33.6788452355538,47.331579044
1,1804800,6695.232994,3.709681401817376,205.80487909706167,9.222524476074044,32.529054357978524,44.811981701
6,300000,2331.835777,7.772785923333332,141.37015916784074,18.18994607625742,16.49262723167594,128.668922659
6,652800,5082.161613,7.78517403952206,197.72319210902992,11.674543207531912,25.696936887984872,59.044885342
6,806400,6274.312963,7.780646035466271,223.87926490449723,10.707777118169492,28.017019469983644,47.828355711
6,979200,7622.725887,7.78464653492647,266.5422027005418,10.493949528196705,28.587901932815225,39.3706866
6,1094400,8519.580837,7.7847047121710515,298.3565756399208,10.510628328379086,28.54253719446904,35.228411862
6,1209600,9416.195857,7.784553453207673,325.5352442446189,10.376203691032886,28.912308290483924,31.874286654
6,1324800,10316.013892,7.786846234903383,359.7408570589825,10.466899572083038,28.661782597030918,29.095665301
6,1555200,12110.447279,7.7870674376286,460.024746380908,11.402513849733147,26.309987775811464,24.786740147
6,1708800,13299.051334,7.7826845353464424,533.8759230254157,12.050943547577434,24.89431626789988,22.572554835
6,1843200,14354.066986,7.7875797450086806,604.6702355565486,12.64605698819401,23.722809432226285,20.913973013
6,1939200,15101.177892,7.787323582920791,666.6533047419485,13.253301230255854,22.635869719397338,19.880350305
6,2169600,16892.843065,7.786155542496314,879.5127824180855,15.63156441444821,19.191937034959267,17.772981504
6,2208000,17197.890392,7.788899634057971,897.3526993526375,15.665881812668083,19.14989552374942,17.457886764
