CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (mJ),ULPMark-CM (iter/mJ),Time (s)
1,300000,1109.242653,3.69747551,87.98500459865504,19831.24151841446,12.606371606531063,225.39342481
1,576000,2133.961572,3.704794395833334,75.85969392000855,8887.789982290256,28.12847743906507,117.16089959
1,614400,2276.473106,3.7051971126302083,118.2244561867293,12984.167216626245,19.254219067656077,109.826406781
1,864000,3203.157032,3.707357675925926,70.60259028315157,5510.812597816518,45.36536047316406,78.053971897
1,1075200,3345.779634,3.111774213169643,88.72648967386866,6630.205623916764,37.70622122158462,74.726337628
1,1363200,5056.532028,3.7093104665492955,158.45291498550756,7834.71264763009,31.90927494649368,49.445052168
1,1516800,5626.702077,3.7095873397943038,128.759434036548,5721.286308561694,43.6964672832199,44.433919358
1,1651200,6125.649319,3.7098166902858525,122.39268197467896,4995.43761532718,50.04566551545776,40.814839047
1,1804800,6695.950289,3.7100788392065605,151.914070530054,5672.431197584896,44.072813101098596,37.339735403
6,652800,2539.824447,3.89066244944853,31.632826671408672,3114.0742766749413,80.28067983880526,98.444388452
6,940800,7321.072976,7.781752738095239,141.82577081753328,4844.889398285158,51.600765146153215,34.160853633
6,1152000,8599.931201,7.465218056423611,169.07392273346082,4917.1949538120025,50.8419947446237,29.083106811
6,1478400,11511.188876,7.7862478869047616,255.86270031086042,5560.03833289744,44.963718778845234,21.730554419
6,1728000,13464.024128,7.791680629629629,442.187512573589,8216.337272971936,30.427183268436153,18.581115566
6,1900800,14802.534194,7.787528511153199,531.3248501194545,8979.619567894937,27.84082311168631,16.900432129
6,2092800,16299.387143,7.7883157219992345,600.2466926293833,9213.901682103906,27.132913788908034,15.350191505
6,2208000,17198.679141,7.789256857336957,689.9199162209122,10036.689174371224,24.908612357785998,14.547614786
7,806400,6280.933598,7.788856148313492,216.72123416112098,8628.734341637326,28.972962905306204,39.814900349
7,1094400,8521.662065,7.786606419042397,241.58732365463788,7090.632048855269,35.25778777935046,29.350182541
7,1401600,10913.694504,7.7865971061643835,311.54753982413325,7140.6251820398375,35.01094002648426,22.919857387
7,1766400,13754.401408,7.786685579710144,491.3511996282638,8937.101363884385,27.97327565403611,18.188825774
7,1996800,15558.874782,7.791904438100962,611.8238945923016,9838.67440145856,25.409927170975198,16.080892702
7,2188800,17038.097185,7.784218377649853,647.4818140160172,9507.82373982676,26.294134897851528,14.684310098
7,2304000,17946.877243,7.789443247829861,671.0304034160546,9355.15607158012,26.723231348269113,13.941478693
7,2400000,18676.228896,7.78176204,784.446376355151,10510.321544618406,23.786141930929542,13.398393901
