CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (mJ),ULPMark-CM (iter/mJ),Time (s)
1,300000,1103.752759,3.679175863333333,148.4668882718288,4186.665244866011,4.777071685997689,28.199319684
1,576000,2128.414331,3.6951637690972223,184.29666975151312,3561.207570901591,8.424108789706098,19.323233435
1,614400,2270.663034,3.6957406152343752,187.8199329752361,3401.466133304561,8.81972620755,18.110251023
1,864000,3197.186476,3.700447310185185,190.82509646099996,3051.2582838300177,13.109345810539176,15.989816541
1,1075200,3339.827442,3.1062383203124995,181.279432216619,3860.3283699889826,15.542719232501778,21.294905455
1,1363200,5050.736948,3.705059380868544,229.52733811170523,5504.647107334097,19.983115693909223,23.982533639
1,1516800,5620.848237,3.705728004351266,263.8039310818353,5684.876176131173,19.349585917429813,21.54962647
1,1651200,6119.61057,3.7061595021802325,260.31284256985896,5152.411436407931,21.349226737352303,19.793151139
1,1804800,6689.776805,3.7066582474512413,260.2552241673194,4712.347294526274,23.34293147870761,18.106638626
6,652800,2534.693619,3.882802725183824,143.91670242202528,2903.9243614339525,13.774463457528926,20.177813364
6,940800,7316.262055,7.77663908907313,265.6253187300307,4400.5406771554,24.996928348156132,16.566721494
6,1152000,8591.736312,7.458104437500001,343.8142131448545,4850.245427414695,22.679264718905745,14.107169634
6,1478400,11438.375751,7.736996584821428,404.7463353518598,11013.615352342913,18.159341288186013,27.211155211
6,1728000,13458.950202,7.788744329861111,509.3965657484176,11779.787815653322,16.978234508964093,23.124984752
6,1900800,14800.562421,7.7864911726641415,590.6673874115903,12424.002619501884,16.097871686380778,21.033838814
6,2092800,16303.904785,7.790474381211773,720.40123921028,13755.964540386429,14.539147684832695,19.094865183
6,2208000,17165.417406,7.77419266576087,776.616956201851,18599.183984356918,16.129739898928836,23.948980042
7,806400,6275.673209,7.7823328484623016,272.9172164732236,5270.233535744644,20.871940352157058,19.310740465
7,1094400,8515.250039,7.7807474771564324,345.05054420005354,4911.113511144638,22.398179099379476,14.233026418
7,1401600,10918.222513,7.7898277061929235,403.45160400975,11501.540510074388,17.388974965989703,28.507856694
7,1766400,13754.212227,7.786578479959239,557.7892515508089,12623.62372387807,15.84331126898945,22.631529182
7,1996800,15538.808173,7.781855054587339,670.9749543672151,13438.367508280518,14.882760117757089,20.028120902
7,2188800,17053.206003,7.791121163651315,759.8958568660842,18329.552929401314,16.36701130439403,24.121138132
7,2304000,17927.572607,7.7810644995659715,832.2763431077777,19096.485149780598,15.709697237318395,22.944885203
7,2400000,18684.603886,7.785251619166667,886.5622148484712,19518.61620168947,15.369942054295475,22.016070474
