Frequency (kHz),CPU 1 coremark_score,CPU 6 coremark_score,CPU 7 coremark_score
940800,,7321.501786,
864000,3203.239115,,
806400,,,6275.730495
652800,,2540.185738,
614400,2276.431648,,
576000,2133.888713,,
300000,1109.23281,,
2400000,,,18686.000448
2304000,,,17941.725276
2208000,,17178.588607,
2188800,,,16911.317053
2092800,,16299.387143,
1996800,,,15547.263682
1900800,,14808.671958,
1804800,6696.129637,,
1766400,,,13749.106308
1728000,,13456.052532,
1651200,6125.649319,,
1516800,5626.702077,,
1478400,,11513.839635,
1401600,,,10911.789097
1363200,5056.532028,,
1152000,,8599.635375,
1094400,,,8520.790729
1075200,3345.779634,,
