CPU,Frequency (kHz),Power (mW),Energy (J)
1,300000,692.9196540581579,3.4645982702907894
1,576000,746.7801453462106,3.733900726731053
1,614400,707.253188480421,3.5362659424021055
1,864000,646.827594106,3.23413797053
1,1075200,619.1466364239474,3.0957331821197367
1,1363200,664.5784463702631,3.3228922318513154
1,1516800,748.4723076576316,3.742361538288158
1,1651200,728.301554499842,3.64150777249921
1,1804800,625.1925677443159,3.125962838721579
6,652800,717.2527528978948,3.586263764489474
6,940800,642.5344767780526,3.212672383890263
6,1152000,722.562920110421,3.612814600552105
6,1478400,628.500335161421,3.142501675807105
6,1728000,669.347606457,3.3467380322849998
6,1900800,718.5222743414737,3.5926113717073687
6,2092800,755.9889270883158,3.779944635441579
6,2208000,663.5640087145789,3.3178200435728944
7,806400,663.945576143158,3.31972788071579
7,1094400,755.4961987249474,3.7774809936247364
7,1401600,658.6855504609473,3.2934277523047366
7,1766400,715.2311923661052,3.5761559618305263
7,1996800,693.2952088471052,3.466476044235526
7,2188800,740.7627204918421,3.7038136024592103
7,2304000,659.6453021872632,3.2982265109363156
7,2400000,767.1433393695789,3.8357166968478946
