CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (mJ),ULPMark-CM (iter/mJ),Time (s)
1,300000,1109.23281,3.6974427,128.33112629579963,28925.08411642517,8.643017216258915,225.394142102
1,576000,2133.888713,3.7046679045138884,140.42820435812695,16453.27705940739,15.194541433741858,117.165046257
1,614400,2276.431648,3.705129635416667,147.75295487497254,16227.29495861024,15.406141358597134,109.827211052
1,864000,3203.239115,3.707452679398148,189.70901481530652,14807.202749271502,16.883675075787,78.052183043
1,1075200,3345.779634,3.111774213169643,182.14642535163645,13611.251766845236,18.367157134581756,74.726977159
1,1363200,5056.532028,3.7093104665492955,254.59188925370563,12588.226954471973,19.859826241152046,49.44472894
1,1516800,5626.702077,3.7095873397943038,203.6147087695481,9047.380163819562,27.63230852172533,44.43382415
1,1651200,6125.649319,3.7098166902858525,252.45693997393218,10303.882405833629,24.262699257753603,40.814415349
1,1804800,6696.129637,3.7101782119902484,253.84510160281087,9478.278337860145,26.37609817823107,37.338827017
6,652800,2540.185738,3.891215897671569,160.7183613215245,15819.622048958485,15.803158838201146,98.430707723
6,940800,7321.501786,7.782208531037415,227.68677103437787,7777.620952084311,32.14350526210755,34.159301029
6,1152000,8599.635375,7.464961263020833,311.87832312641746,9070.399290228317,27.56218243548869,29.083134728
6,1478400,11513.839635,7.788040878652597,344.85488666787217,7492.202043796893,33.36802698840529,21.725665877
6,1728000,13456.052532,7.7870674375,480.55826432554807,8934.487837334122,27.98145842846602,18.591893014
6,1900800,14808.671958,7.790757553661617,614.1760996292728,10375.99233057116,24.09408103198149,16.894164942
6,2092800,16299.387143,7.7883157219992345,724.1683968072667,11116.725424869952,22.488636756351713,15.351022599
6,2208000,17178.588607,7.7801578836050735,701.0665816045264,10210.582094296316,24.484402328017254,14.564354317
7,806400,6275.730495,7.782403887648809,261.0440011600128,10401.997928822462,24.033844431682247,39.847680401
7,1094400,8520.790729,7.785810242141812,316.65455266510355,9294.600658949386,26.897336332495936,29.352493374
7,1401600,10911.789097,7.78523765482306,423.9346605571667,9717.931985862784,25.725637961213238,22.923183429
7,1766400,13749.106308,7.7836879008152176,482.3960337834584,8777.74460697087,28.48112028703385,18.196137597
7,1996800,15547.263682,7.7860895843349365,674.2172847176508,10850.35500335938,23.040720780342898,16.0932614
7,2188800,16911.317053,7.726296168220028,721.5071017659138,10674.21021061713,23.420936543983075,14.794324525
7,2304000,17941.725276,7.787207151041667,812.7808850525455,11335.068718786872,22.055446349932325,13.946032599
7,2400000,18686.000448,7.78583352,894.9207082666793,11984.42625839345,20.86040621468293,13.391606818
