CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.938038,3.713126793333333,52.413371369080686,11.76379634865234,21.251642972265493,224.44265731
1,403200,1497.095634,3.7130348065476193,57.16513092909632,9.546491393684606,26.18763163243254,166.998504832
1,499200,1853.568119,3.7130771614583336,72.68790673048503,9.804310997104642,25.498987136763482,134.882285625
1,576000,2138.744642,3.713098336805556,82.76732749024126,9.675318233199063,25.83894337885149,116.897796831
1,672000,2495.184294,3.7130718660714286,64.63367056467989,6.476253600782864,38.60256491033326,100.199378191
1,768000,2851.602601,3.7130242200520835,72.3192504414022,6.340606551894752,39.42840451522622,87.675224967
1,844800,3136.841577,3.713117397017046,77.41369689596198,6.1701190455584625,40.517856811848965,79.703195855
1,940800,3493.376558,3.7131978720238097,83.54822787699995,5.979474832803141,41.80969181917295,71.569140181
1,1036800,3849.588864,3.7129522222222224,90.5206580535,5.878935207859334,42.5247074786237,64.945785131
1,1113600,4134.760101,3.7129670447198277,95.62358254693325,5.782101250287588,43.236876903109504,60.467314613
1,1209600,4491.47518,3.713190459656085,101.58190036265444,5.654486210141144,44.212681879324926,55.664308208
1,1305600,4847.967732,3.713210579044118,110.07136757735293,5.67645832787378,44.04154590061828,51.57070774
1,1382400,5133.154015,3.713219050202546,113.68185042081247,5.536999140402783,45.150810693789275,48.706096179
1,1478400,5489.558859,3.7131756351461034,120.1974876460221,5.474184940803823,45.66889915182338,45.54325592
1,1555200,5774.605594,3.7130951607510285,126.09284012065112,5.459238457220412,45.79393297417682,43.29538816
1,1632000,6060.018422,3.713246582107843,131.4728515359268,5.424232740889531,46.08946775373838,41.25743587
1,1708800,6345.338714,3.713330239934457,137.015358972923,5.39865366733487,46.30784180742167,39.401813839
1,1785600,6630.244523,3.7131745760528676,145.5985710625134,5.4903560847856365,45.53438723087137,37.708859673
4,710400,2764.752721,3.8918253392454956,125.77869952859992,11.375038791841794,21.977947027248874,90.436924809
4,825600,6432.35733,7.791130486918604,206.3723672303683,8.023209522608857,31.159600069712383,38.877344047
4,940800,7330.518414,7.791792531887755,226.996636287647,7.744135900025741,32.28249132342435,34.115641653
4,1056000,8227.202422,7.790911384469697,249.12572344399993,7.572931549349134,33.01231476487947,30.398031342
4,1171200,9126.752336,7.792650560109289,261.25615053714813,7.159573791316594,34.91827967514066,27.404421969
4,1286400,10020.441701,7.789522466573382,289.14459036562505,7.217109045603793,34.63990891924852,24.960207751
4,1401600,10918.460934,7.789997812500001,310.76724395745435,7.11913410236127,35.1166302538226,22.908251242
4,1497600,11662.623624,7.787542483974359,335.6197266198571,7.198453386354797,34.72968241676658,21.448242804
4,1612800,12546.421761,7.779279365699405,374.6512046711052,7.469354134966156,33.470096005982555,19.936821347
4,1708800,13319.8359,7.7948477879213485,397.74051168383323,7.469561213213388,33.46916811629563,18.77998593
4,1804800,14068.655037,7.795132445146277,455.5536233763528,8.10031694377681,30.862989897212138,17.781258952
4,1920000,14909.351145,7.765287054687501,506.7413669340623,8.50247303602911,29.403209976747764,16.778723015
4,2016000,15706.477351,7.790911384424603,557.5914538081333,8.881877139305743,28.14720312822762,15.92900515
4,2131200,16612.399495,7.794857120401653,631.9913479479333,9.518449403000448,26.26478215256299,15.061043848
4,2227200,17349.063151,7.7896296475395115,698.2295058131427,10.068953175108588,24.828797557428697,14.420692754
4,2323200,18088.416178,7.785991812155648,717.4623344820769,9.924532071378932,25.190104500842686,13.832826609
4,2419200,18835.229413,7.785726443865742,845.230903328923,11.228742518013247,22.264291802839704,13.284822495
7,825600,3215.434084,3.8946633769379844,158.07019602024667,12.29203206145532,20.338378451186788,77.763122783
7,940800,7329.658731,7.790878753188776,268.7538375012941,9.16992566854539,27.263034514832338,34.120166446
7,1056000,8226.931684,7.790655003787878,291.123826107,8.849856446713206,28.249045790211525,30.398942488
7,1171200,9125.419769,7.791512780908469,316.0778510345555,8.662649157466353,28.85953193481518,27.406694677
7,1286400,10024.459682,7.792645897077114,338.3353557064165,8.441504990691431,29.61557213739476,24.950111918
7,1401600,10922.277076,7.792720516552512,364.78821929263626,8.353902226258175,29.926134305737303,22.900690824
7,1497600,11673.515129,7.794815123530983,383.2939375269523,8.213290025886387,30.43847218496582,21.42817619
7,1612800,12564.076792,7.790226185515873,405.76475289389464,8.078383522874297,30.94678524386891,19.90903218
7,1708800,13316.997816,7.793186924157303,427.2446778424444,8.025506284407655,31.150682728354745,18.784332961
7,1804800,14062.324221,7.79162467918883,445.9936863741175,7.93379211379557,31.51078279014783,17.789023379
7,1920000,14965.579168,7.794572483333334,497.6813274892499,8.319047412054468,30.051517633827277,16.715610879
7,2016000,15711.41277,7.793359508928572,512.7062071111333,8.163753319623275,30.6231692962933,15.922868119
7,2131200,16599.163402,7.788646491178678,599.2817052162667,9.032983751209533,27.676347803296398,15.073017702
7,2227200,17352.675783,7.791251698545259,621.9844699287856,8.96805100517305,27.876737080976927,14.418448432
7,2323200,18094.962362,7.788809556646005,703.8426285050768,9.73235256271883,25.687519886780592,13.827455412
7,2419200,18849.430747,7.791596704282408,737.9348714893076,9.795964962959745,25.520711940609594,13.274836766
7,2534400,19761.283693,7.797223679371844,824.4326336654999,10.440217380789896,23.945861554569017,12.66351786
7,2649600,20657.742522,7.796551374547102,882.0725251605834,10.685765842232732,23.395609045814904,12.114384631
7,2745600,21400.445129,7.794451168779138,1003.3757724875454,11.733279523487125,21.306915896750077,11.693803902
7,2841600,22147.413182,7.793993940737613,1091.637777258,12.335847276415464,20.26613935776973,11.300311819
