CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.928112,3.7130937066666667,44.1795810878699,9.915936189723991,25.211941184038487,224.44613429
1,403200,1497.086669,3.713012571924603,61.80604493455422,10.321727839407531,24.220751010845298,167.001914624
1,499200,1853.568119,3.7130771614583336,80.41559357532088,10.84681261667687,23.04824549247098,134.884443855
1,576000,2138.708049,3.7130348072916664,84.712088194,9.902841058914234,25.24528047180538,116.899975789
1,672000,2495.209198,3.7131089255952383,71.48021798673997,7.162198515983167,34.90548320353029,100.198330639
1,768000,2851.407455,3.7127701236979167,75.57871640356323,6.62696411222353,37.72466483391263,87.682940748
1,844800,3136.723504,3.712977632575758,81.19206122296198,6.471561632720256,38.63055228215682,79.706827678
1,940800,3493.327744,3.7131459863945584,89.15868993388727,6.38105343968508,39.17848398591974,71.56961867
1,1036800,3849.588864,3.7129522222222224,95.69964833643743,6.215281834864114,40.223437430889376,64.945712371
1,1113600,4134.760101,3.7129670447198277,100.65855558328334,6.086579045094811,41.07397573378688,60.467577841
1,1209600,4491.313799,3.713057042824074,108.03949431118174,6.014219300681476,41.56815498425079,55.666859041
1,1305600,4847.685715,3.7129945733762253,114.20614904147058,5.890133817105835,42.44385743392831,51.574576908
1,1382400,5133.04862,3.713142809606481,122.60048510691662,5.971549754961625,41.865179100664896,48.707390919
1,1478400,5489.438321,3.713094102408008,129.03427444195555,5.876906915000997,42.53938400178959,45.545316858
1,1555200,5774.605594,3.7130951607510285,133.213870662093,5.767798325213431,43.34409525158788,43.297280505
1,1632000,6060.018422,3.713246582107843,139.58033994202435,5.758711955275214,43.41248562901116,41.25732863
1,1708800,6345.177665,3.7132359930945693,141.1267247091538,5.5609532979067495,44.95632072545994,39.403970505
1,1785600,6630.244523,3.7131745760528676,151.87993184178376,5.727199933205042,43.65134846272,37.708733891
4,710400,2767.017156,3.8950128885135133,133.8064534667222,12.091291980402705,20.676036969845274,90.364041996
4,825600,6431.695395,7.7903287245639525,214.89828357365786,8.355992638164635,29.918647708970653,38.883477798
4,940800,7331.163309,7.792478007015306,236.49155350997057,8.067972532386964,30.986719277542683,34.115267174
4,1056000,8232.349842,7.795785835227273,255.8355293232666,7.772613272569164,32.164214432524425,30.381289468
4,1171200,9122.755802,7.789238218920764,278.79519179777776,7.643966271096858,32.70553416036027,27.417855458
4,1286400,10028.07862,7.795459126243781,299.9928553905833,7.482683258825023,33.41047473914545,24.942871553
4,1401600,10925.61839,7.795104444920091,318.4198547749999,7.2902438499778,34.29240573355599,22.895066814
4,1497600,11670.790346,7.792995690438034,342.1509279724285,7.333831746183879,34.088592246486456,21.434493221
4,1612800,12558.396544,7.7867042063492065,386.9911414339999,7.708807501434991,32.43043751623875,19.919855201
4,1708800,13314.870047,7.791941740987828,425.19071298716665,7.989292480581542,31.291882304677177,18.789903534
4,1804800,14059.951634,7.79031008089539,471.61302075958827,8.391887148030923,29.7906770658445,17.794010722
4,1920000,14968.267273,7.795972538020833,515.0831476535625,8.609835785759973,29.036558445572375,16.715429004
4,2016000,15707.464187,7.79140088640873,568.9134211089333,9.062173049885045,27.58720216705322,15.928914161
4,2131200,16607.985119,7.792785810341592,625.3526651585333,9.42236663196569,26.53261221568971,15.067284681
4,2227200,17363.522711,7.796121906878593,693.5726502910001,9.99628509357935,25.00929071746622,14.412744057
4,2323200,18098.892348,7.790501182851241,771.1439858216921,10.662084313722492,23.44757297391101,13.826321037
4,2419200,18849.430747,7.791596704282408,841.7466104572306,11.17655054917395,22.368261021149976,13.277808797
7,825600,3217.378994,3.8970191303294572,167.75671005183116,13.037532887372274,19.175407046692232,77.716908512
7,940800,7329.658731,7.790878753188776,276.24068654249993,9.426139102881196,26.521993498227175,34.122920924
7,1056000,8233.976681,7.797326402462121,298.7217804681,9.074069635657754,27.5510338842444,30.376324155
7,1171200,9132.086499,7.7972050025614745,324.39347516492586,8.885360977424776,28.13616696442387,27.390689572
7,1286400,10020.843354,7.7898346968283585,350.0318570894583,8.737293106172583,28.612980812488022,24.961422594
7,1401600,10917.507315,7.789317433647262,371.56965031450005,8.513714278907498,29.3643868950792,22.912835512
7,1497600,11673.515129,7.794815123530983,389.65248550628564,8.350475979163939,29.938413166363045,21.430572856
7,1612800,12569.76218,7.793751351686508,414.57698293015784,8.25116942268387,30.298735511684857,19.902623065
7,1708800,13313.451912,7.791111839887641,438.77964834544446,8.245273596729728,30.32040078077651,18.791376555
7,1804800,14055.9991,7.788120068705674,456.76222164817636,8.130104785104578,30.749911176794782,17.799424733
7,1920000,14958.415605,7.7908414609375,501.5874582158749,8.389949748992187,29.797556300027942,16.726793327
7,2016000,15712.400226,7.793849318452381,535.1816546336667,8.522102576965082,29.335483554931674,15.923756921
7,2131200,16593.654586,7.786061648836338,600.6341491289334,9.057958163910978,27.600039156292244,15.080657963
7,2227200,17362.316828,7.795580472341954,629.4780876486428,9.072722360041364,27.555125140946142,14.41308687
7,2323200,18097.582163,7.789937225809229,709.6802478478461,9.812838232961566,25.476828830240354,13.827126037
7,2419200,18853.695324,7.793359508928572,727.4694641350001,9.656215211112372,25.89006091250949,13.273705203
7,2534400,19716.088328,7.779390912247475,831.1958899249166,10.551097416282044,23.694217780058565,12.693875829
