PID   USER     TIME  COMMAND
    1 root      0:00 bash /init
    2 root      0:00 [kthreadd]
    3 root      0:00 [rcu_gp]
    4 root      0:00 [rcu_par_gp]
    6 root      0:00 [kworker/0:0H-ev]
    7 root      0:00 [kworker/0:1-eve]
    8 root      0:00 [kworker/u16:0+L]
    9 root      0:00 [mm_percpu_wq]
   10 root      0:00 [ksoftirqd/0]
   11 root      0:00 [rcu_preempt]
   12 root      0:00 [rcu_sched]
   13 root      0:00 [rcu_bh]
   14 root      0:00 [rcuop/0]
   15 root      0:00 [rcuos/0]
   16 root      0:00 [rcuob/0]
   17 root      0:00 [migration/0]
   18 root      0:00 [cpuhp/0]
   19 root      0:00 [cpuhp/1]
   20 root      0:00 [migration/1]
   21 root      0:00 [ksoftirqd/1]
   22 root      0:00 [kworker/1:0-mm_]
   23 root      0:00 [kworker/1:0H]
   24 root      0:00 [rcuop/1]
   25 root      0:00 [rcuos/1]
   26 root      0:00 [rcuob/1]
   27 root      0:00 [cpuhp/2]
   28 root      0:00 [migration/2]
   29 root      0:00 [ksoftirqd/2]
   30 root      0:00 [kworker/2:0-mm_]
   31 root      0:00 [kworker/2:0H]
   32 root      0:00 [rcuop/2]
   33 root      0:00 [rcuos/2]
   34 root      0:00 [rcuob/2]
   35 root      0:00 [cpuhp/3]
   36 root      0:00 [migration/3]
   37 root      0:00 [ksoftirqd/3]
   38 root      0:00 [kworker/3:0-mm_]
   39 root      0:00 [kworker/3:0H]
   40 root      0:00 [rcuop/3]
   41 root      0:00 [rcuos/3]
   42 root      0:00 [rcuob/3]
   43 root      0:00 [cpuhp/4]
   44 root      0:00 [migration/4]
   45 root      0:00 [ksoftirqd/4]
   46 root      0:00 [kworker/4:0-mm_]
   47 root      0:00 [kworker/4:0H]
   48 root      0:00 [rcuop/4]
   49 root      0:00 [rcuos/4]
   50 root      0:00 [rcuob/4]
   51 root      0:00 [cpuhp/5]
   52 root      0:00 [migration/5]
   53 root      0:00 [ksoftirqd/5]
   54 root      0:00 [kworker/5:0-mm_]
   55 root      0:00 [kworker/5:0H]
   56 root      0:00 [rcuop/5]
   57 root      0:00 [rcuos/5]
   58 root      0:00 [rcuob/5]
   59 root      0:00 [cpuhp/6]
   60 root      0:00 [migration/6]
   61 root      0:00 [ksoftirqd/6]
   62 root      0:00 [kworker/6:0-mm_]
   63 root      0:00 [kworker/6:0H]
   64 root      0:00 [rcuop/6]
   65 root      0:00 [rcuos/6]
   66 root      0:00 [rcuob/6]
   67 root      0:00 [cpuhp/7]
   68 root      0:00 [migration/7]
   69 root      0:00 [ksoftirqd/7]
   70 root      0:00 [kworker/7:0-eve]
   71 root      0:00 [kworker/7:0H-ev]
   72 root      0:00 [rcuop/7]
   73 root      0:00 [rcuos/7]
   74 root      0:00 [rcuob/7]
   75 root      0:00 [kdevtmpfs]
   76 root      0:00 [netns]
   77 root      0:00 [rcu_tasks_kthre]
   78 root      0:00 [kauditd]
   80 root      0:00 [kworker/u16:1+M]
   81 root      0:00 [kworker/u17:0-n]
   82 root      0:00 [ipa_usb_wq]
   83 root      0:00 [msm_watchdog]
   84 root      0:00 [qmp_aop]
   85 root      0:00 [oom_reaper]
   86 root      0:00 [writeback]
   87 root      0:00 [kcompactd0]
   88 root      0:00 [crypto]
   89 root      0:00 [kblockd]
   90 root      0:00 [irq/222-arm-smm]
   91 root      0:00 [irq/223-arm-smm]
   92 root      0:00 [irq/232-arm-smm]
   93 root      0:00 [irq/233-arm-smm]
   94 root      0:00 [longpress]
   95 root      0:00 [irq/107-tsens-u]
   96 root      0:00 [irq/108-tsens-c]
   97 root      0:00 [irq/109-tsens-u]
   98 root      0:00 [irq/110-tsens-c]
   99 root      0:00 [edac-poller]
  100 root      0:00 [irq/8-dcvsh-irq]
  101 root      0:00 [irq/9-dcvsh-irq]
  102 root      0:00 [irq/10-dcvsh-ir]
  103 root      0:00 [ion-pool-uncach]
  104 root      0:00 [ion-pool-cached]
  105 root      0:00 [system]
  106 root      0:00 [ipa_power_mgmt]
  107 root      0:00 [transport_power]
  108 root      0:00 [ipa_pm_activate]
  109 root      0:00 [irq/239-arm-smm]
  110 root      0:00 [irq/240-arm-smm]
  111 root      0:00 [irq/241-arm-smm]
  112 root      0:00 [irq/242-arm-smm]
