PID   USER     TIME  COMMAND
    1 root      0:02 bash /init
    2 root      0:00 [kthreadd]
    3 root      0:00 [rcu_gp]
    4 root      0:00 [rcu_par_gp]
    6 root      0:00 [kworker/0:0H-ev]
    9 root      0:00 [mm_percpu_wq]
   10 root      0:00 [rcu_tasks_kthre]
   11 root      0:00 [ksoftirqd/0]
   12 root      0:00 [rcu_preempt]
   13 root      0:00 [rcuog/0]
   14 root      0:00 [rcuop/0]
   15 root      0:00 [rcub/0]
   16 root      0:00 [migration/0]
   17 root      0:00 [cpuhp/0]
   18 root      0:00 [cpuhp/1]
   19 root      0:00 [migration/1]
   20 root      0:00 [ksoftirqd/1]
   22 root      0:00 [kworker/1:0H-ev]
   23 root      0:00 [rcuop/1]
   24 root      0:00 [cpuhp/2]
   25 root      0:00 [migration/2]
   26 root      0:00 [ksoftirqd/2]
   28 root      0:00 [kworker/2:0H-ev]
   29 root      0:00 [rcuop/2]
   30 root      0:00 [cpuhp/3]
   31 root      0:00 [migration/3]
   32 root      0:00 [ksoftirqd/3]
   34 root      0:00 [kworker/3:0H-ev]
   35 root      0:00 [rcuop/3]
   36 root      0:00 [cpuhp/4]
   37 root      0:00 [migration/4]
   38 root      0:00 [ksoftirqd/4]
   40 root      0:00 [kworker/4:0H-ev]
   41 root      0:00 [rcuog/4]
   42 root      0:00 [rcuop/4]
   43 root      0:00 [cpuhp/5]
   44 root      0:00 [migration/5]
   45 root      0:00 [ksoftirqd/5]
   46 root      0:00 [kworker/5:0-eve]
   47 root      0:00 [kworker/5:0H-ev]
   48 root      0:00 [rcuop/5]
   49 root      0:00 [cpuhp/6]
   50 root      0:00 [migration/6]
   51 root      0:00 [ksoftirqd/6]
   52 root      0:00 [kworker/6:0-eve]
   53 root      0:00 [kworker/6:0H-ev]
   54 root      0:00 [rcuop/6]
   55 root      0:00 [cpuhp/7]
   56 root      0:00 [migration/7]
   57 root      0:00 [ksoftirqd/7]
   59 root      0:00 [kworker/7:0H-ev]
   60 root      0:00 [rcuop/7]
   61 root      0:00 [netns]
   62 root      0:00 [kauditd]
   63 root      0:00 [qrtr_ns]
   65 root      0:00 [kworker/u17:0-p]
   66 root      0:00 [qmp_aop]
   67 root      0:00 [hh-watchdog]
   68 root      0:00 [oom_reaper]
   69 root      0:00 [writeback]
   70 root      0:00 [kcompactd0]
   87 root      0:00 [cryptd]
  115 root      0:00 [kblockd]
  116 root      0:00 [blk_crypto_wq]
  117 root      0:00 [blkcg_punt_bio]
  119 root      0:00 [kswapd-1:0]
  120 root      0:00 [irq/43-arm-smmu]
  121 root      0:00 [irq/44-arm-smmu]
  122 root      0:00 [governor_msm_ad]
  123 root      0:00 [irq/28-tsens-up]
  124 root      0:00 [irq/29-tsens-cr]
  125 root      0:00 [irq/31-tsens-up]
  126 root      0:00 [irq/32-tsens-cr]
  127 root      0:00 [edac-poller]
  128 root      0:00 [irq/15-dcvsh-ir]
  129 root      0:00 [irq/16-dcvsh-ir]
  130 root      0:00 [irq/17-dcvsh-ir]
  131 root      0:00 [core_ctl/0]
  133 root      0:00 [core_ctl/4]
  134 root      0:00 [kworker/0:1H-kb]
  135 root      0:00 [ion_system_heap]
  136 root      0:00 [core_ctl/7]
  137 root      0:00 [cpu_boost_worke]
  138 root      0:00 [devfreq_wq]
  139 root      0:00 [ipa_usb_wq]
  140 root      0:00 [mpcie_wq]
  141 root      0:00 [watchdogd]
  142 root      0:00 [ion-pool-uncach]
  143 root      0:00 [ion-pool-cached]
  144 root      0:00 [system]
  146 root      0:00 [kworker/2:1-eve]
  147 root      0:00 [kworker/3:1-eve]
  148 root      0:00 [cfg80211]
  174 root      0:00 [erofs_worker/0]
  183 root      0:00 [irq/333-smp2p]
  184 root      0:00 [irq/334-smp2p]
  185 root      0:00 [irq/335-smp2p]
  186 root      0:00 [irq/336-smp2p]
  188 root      0:00 [pmic_glink_rx]
  190 root      0:00 [pmic_glink_rx]
  191 root      0:00 [cdsprm-wq]
  192 root      0:00 [cdsprm-wq-delay]
  193 root      0:00 [hyp_core_ctl]
  194 root      0:00 [irq/340-qbt_ipc]
  197 root      0:00 [kgsl-workqueue]
  198 root      0:00 [kgsl-mementry]
  199 root      0:00 [kgsl_worker_thr]
  200 root      0:00 [qseecom-unreg-l]
