PID   USER     TIME  COMMAND
    1 root      0:04 bash /init
    2 root      0:00 [kthreadd]
    3 root      0:00 [rcu_gp]
    4 root      0:00 [rcu_par_gp]
    6 root      0:00 [kworker/0:0H-kb]
    8 root      0:00 [mm_percpu_wq]
    9 root      0:00 [ksoftirqd/0]
   10 root      0:00 [rcu_preempt]
   11 root      0:00 [rcuog/0]
   12 root      0:00 [rcuop/0]
   13 root      0:00 [migration/0]
   14 root      0:00 [cpuhp/0]
   15 root      0:00 [cpuhp/1]
   16 root      0:00 [migration/1]
   17 root      0:00 [ksoftirqd/1]
   19 root      0:00 [kworker/1:0H-kb]
   20 root      0:00 [rcuop/1]
   21 root      0:00 [cpuhp/2]
   22 root      0:00 [migration/2]
   23 root      0:00 [ksoftirqd/2]
   25 root      0:00 [kworker/2:0H-kb]
   26 root      0:00 [rcuop/2]
   27 root      0:00 [cpuhp/3]
   28 root      0:00 [migration/3]
   29 root      0:00 [ksoftirqd/3]
   30 root      0:00 [kworker/3:0-mm_]
   31 root      0:00 [kworker/3:0H-kb]
   32 root      0:00 [rcuop/3]
   34 root      0:00 [cpuhp/4]
   35 root      0:00 [migration/4]
   36 root      0:00 [ksoftirqd/4]
   38 root      0:00 [kworker/4:0H]
   39 root      0:00 [rcuog/4]
   40 root      0:00 [rcuop/4]
   41 root      0:00 [cpuhp/5]
   42 root      0:00 [migration/5]
   43 root      0:00 [ksoftirqd/5]
   45 root      0:00 [kworker/5:0H]
   46 root      0:00 [rcuop/5]
   47 root      0:00 [cpuhp/6]
   48 root      0:00 [migration/6]
   49 root      0:00 [ksoftirqd/6]
   50 root      0:00 [kworker/6:0-mm_]
   51 root      0:00 [kworker/6:0H]
   52 root      0:00 [rcuop/6]
   53 root      0:00 [cpuhp/7]
   54 root      0:00 [migration/7]
   55 root      0:00 [ksoftirqd/7]
   56 root      0:00 [kworker/7:0-rcu]
   57 root      0:00 [kworker/7:0H]
   58 root      0:00 [rcuop/7]
   59 root      0:00 [kdevtmpfs]
   60 root      0:00 [netns]
   61 root      0:00 [rcu_tasks_kthre]
   62 root      0:00 [kauditd]
   65 root      0:00 [qmp_aop]
   66 root      0:00 [hh-watchdog]
   67 root      0:00 [oom_reaper]
   68 root      0:00 [writeback]
   69 root      0:00 [kcompactd0]
   82 root      0:00 [cryptd]
  114 root      0:00 [kblockd]
  115 root      0:00 [blk_crypto_wq]
  116 root      0:00 [blkcg_punt_bio]
  117 root      0:00 [irq/41-arm-smmu]
  118 root      0:00 [irq/42-arm-smmu]
  119 root      0:00 [governor_msm_ad]
  120 root      0:00 [longpress]
  121 root      0:00 [irq/26-tsens-up]
  122 root      0:00 [irq/27-tsens-cr]
  123 root      0:00 [irq/29-tsens-up]
  124 root      0:00 [irq/30-tsens-cr]
  125 root      0:00 [irq/12-dcvsh-ir]
  126 root      0:00 [irq/13-dcvsh-ir]
  127 root      0:00 [irq/14-dcvsh-ir]
  129 root      0:00 [devfreq_wq]
  130 root      0:00 [ipa_usb_wq]
  131 root      0:00 [watchdogd]
  132 root      0:00 [ion-pool-uncach]
  133 root      0:00 [ion-pool-cached]
  134 root      0:00 [system]
  135 root      0:00 [cfg80211]
  161 root      0:00 [kworker/2:1-eve]
  163 root      0:00 [kworker/5:1-eve]
  164 root      0:00 [kworker/3:1-eve]
  165 root      0:00 [kworker/6:1-eve]
  167 root      0:00 [kswapd0:0]
  169 root      0:00 [irq/331-smp2p]
  170 root      0:00 [irq/332-smp2p]
  171 root      0:00 [irq/333-smp2p]
  172 root      0:00 [irq/334-smp2p]
  174 root      0:00 [pmic_glink_rx]
  175 root      0:00 [pmic_glink_rx]
  176 root      0:00 [cdsprm-wq]
  177 root      0:00 [cdsprm-wq-delay]
  178 root      0:00 [hyp_core_ctl]
  181 root      0:02 [kworker/0:4-eve]
  182 root      0:00 [kgsl-workqueue]
  183 root      0:00 [kgsl-mementry]
  184 root      0:00 [kgsl_worker_thr]
  185 root      0:00 [qseecom-unreg-l]
  186 root      0:00 [qseecom-unload-]
  187 root      0:00 [uas]
  188 root      0:00 [k_ipa_usb]
  189 root      0:00 [dm_bufio_cache]
  190 root      0:00 [irq/321-flash_a]
  191 root      0:00 [irq/320-flash_a]
  192 root      0:00 [irq/319-flash_f]
  193 root      0:00 [qcrypto_seq_res]
