CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1111.893555,3.7063118500000005,69.78540769230774,18.829875228612117,15.932128936475802,269.82539547
1,403200,1495.692406,3.7095545783730155,52.80599481865289,10.592240006610005,28.322621070971515,200.587831798
1,499200,1852.023335,3.7099826422275646,50.60367307692312,8.197461533385418,36.59669505958693,161.993409469
1,595200,2208.496823,3.7105121354166664,48.637847328244355,6.60729496848475,45.404360094551514,135.846780469
1,691200,2564.869833,3.7107491796875,52.578803571428594,6.150198387649841,48.778914287127286,116.971060007
1,806400,2991.444469,3.7096285577876986,55.20389583333341,5.536547497008941,54.185392640823856,100.29269517
1,902400,3348.662767,3.7108408322251774,64.23213953488377,5.754781876754161,52.13055966757291,89.59349507
1,998400,3704.115272,3.7100513541666666,63.338153846153844,5.13010333651274,58.478354200936856,80.995466792
1,1094400,4061.628442,3.711283298611111,67.07164788732402,4.954309771711058,60.55333917814141,73.865931847
1,1209600,4489.472188,3.711534546957672,73.2305,4.893828430781564,61.30169952690573,66.827734766
1,1305600,4845.743822,3.711507216605393,83.20596610169498,5.151618629583817,58.23412437349541,61.914053414
1,1401600,5202.011444,3.711480767694064,83.17150909090911,4.796797724058259,62.5417241371999,57.673568467
1,1497600,5558.231741,3.711426109107906,88.96809615384615,4.802208862986957,62.47125199244272,53.976752011
1,1612800,5984.798612,3.7108126314484124,94.9310625,4.7590086867246955,63.0383383911135,50.131206387
1,1708800,6342.762908,3.7118228628277152,106.65762222222224,5.045111639500024,59.46350079772077,47.30193243
1,1804800,6698.821008,3.7116694414893616,116.08290697674423,5.199025303974105,57.70312365486694,44.787173576
4,710400,6463.010039,9.097705572916666,115.63740909090914,5.3692117571928515,55.87412334745519,46.431442899
4,844800,7683.245403,9.09475071377841,142.1208108108109,5.551284479965121,54.04154679564988,39.060320922
4,960000,8737.43993,9.101499927083333,162.24472727272732,5.572926997882411,53.83167590639413,34.348894362
4,1075200,9779.313492,9.09534364955357,185.29951724137936,5.68691390839267,52.752688862981394,30.690387072
4,1209600,11012.407312,9.104172711640212,216.11100000000005,5.89038889212142,50.93042335477364,27.256312229
4,1324800,12054.486278,9.099098941727053,241.18320833333343,6.005491907573943,49.95427595558811,24.90012447
4,1440000,13098.148795,9.095936663194443,282.00472727272734,6.462678200662528,46.420383420799936,22.916914419
4,1555200,14136.273678,9.089682148919753,315.00515000000007,6.689306232414928,44.84770013163174,21.235545617
4,1670400,15190.642564,9.094014944923371,332.70752631578955,6.57487070455286,45.62827369247898,19.76171317
4,1766400,16071.141587,9.098245916553442,368.89616666666666,6.89105172973625,43.534718902985546,18.680193378
4,1881600,17114.495978,9.095714274022109,464.6190000000001,8.150838676340607,36.80602842389806,17.543059316
4,1996800,18173.007027,9.101065217848557,501.45020000000005,8.28481859386062,36.210810967220446,16.521717598
4,2112000,19215.987702,9.098479025568182,590.9654,9.2343083138857,32.48754425373557,15.625801974
4,2227200,20268.90075,9.100619948814657,646.7519285714286,9.580801166996721,31.312621436443035,14.813718744
4,2342400,21312.872975,9.09873333973702,783.0390769230769,11.033028215948528,27.19108427243413,14.090009734
4,2419200,22010.27146,9.09816115244709,863.3790000000001,11.778834169279982,25.46941366934436,13.64271562
7,844800,7841.497203,9.282075287642046,223.1341111111111,8.539898544235259,35.1292229581007,38.272492277
7,960000,8908.950526,9.280156797916668,255.0409375000001,8.591577527724002,34.91791804612547,33.6870528
7,1075200,9983.028851,9.284811059337796,274.3219655172415,8.24742695311842,36.374981155373256,30.064770561
7,1190400,8821.19439,7.410277545362903,262.18178125,8.920052953034249,33.63208734068691,34.022398164
7,1305600,10108.157283,7.7421547817095595,285.94189285714293,8.490230345183502,35.33473036690809,29.692152697
7,1420800,13190.871917,9.284115932573199,361.0569523809524,8.216191018696083,36.5132698737584,22.755941866
7,1555200,14449.475002,9.29107188914609,406.5504,8.4461753740087,35.51903515089041,20.775223377
7,1670400,15507.081567,9.283454003232757,455.8765,8.825892930821146,33.99089501214791,19.360271764
7,1785600,16477.179107,9.227810879816309,503.79152941176477,9.179470736523644,32.681622787504296,18.220772285
7,1900800,17647.058824,9.284016637205387,576.229625,9.80413887291849,30.599321764879917,17.014291608
7,2035200,18905.974288,9.289492083333334,633.6572666666667,10.063055999156349,29.812017345938543,15.880913119
7,2150400,19973.368842,9.28821095703125,698.4012857142858,10.499576575490623,28.57258079342896,15.033730307
7,2265600,21031.968592,9.28317822740113,812.8523076923077,11.606230809585638,25.84818490359753,14.278400516
7,2380800,22114.108801,9.288520161710348,967.5682307692308,13.138969418975938,22.832841026840768,13.579372494
7,2496000,23166.023166,9.28125928125,1013.7604166666667,13.141207843943011,22.828951764755377,12.962833849
7,2592000,24071.250903,9.286748033564814,1194.5463333333335,14.903283299595518,20.129792473859915,12.476103173
7,2688000,24958.402662,9.28512003794643,1244.627909090909,14.977656093439876,20.02983631940903,12.033842391
7,2764800,25682.732643,9.289182813585068,1363.9313636363638,15.951114494143706,18.80746327224609,11.694953954
7,2841600,26387.545079,9.286157474310247,1601.5505454545455,18.228767473302955,16.457503253545074,11.381949527
