CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,600000,4578.574886,7.630958143333334,0.0,0.0,0,76.445157703
1,972000,7368.421053,7.580680095679012,0.0,0.0,0,47.502255522
1,1332000,10101.301625,7.583559778528529,0.0,0.0,0,34.650215934
1,1704000,12850.63886,7.541454730046948,0.0,0.0,0,27.237502847
1,2064000,15627.790677,7.571604010174419,0.0,0.0,0,22.397044261
4,600000,6541.444725,10.902407875,0.0,0.0,0,53.507529484
4,828000,9024.339934,10.89896127294686,0.0,0.0,0,38.786422227
4,1056000,11510.128913,10.899743288825759,0.0,0.0,0,30.410480264
4,1284000,13996.640806,10.900810596573208,0.0,0.0,0,25.008751512
4,1500000,16358.962374,10.905974916,0.0,0.0,0,21.396894052
4,1728000,18837.459634,10.901307658564814,0.0,0.0,0,18.582608717
4,1956000,21316.76716,10.8981427198364,0.0,0.0,0,16.421065091
4,2184000,23803.04679,10.898830947802198,0.0,0.0,0,14.70504009
4,2388000,26066.880167,10.91577896440536,0.0,0.0,0,13.429206048
4,2592000,28294.260307,10.91599548881173,0.0,0.0,0,12.371965922
4,2772000,30248.033878,10.911989133477633,0.0,0.0,0,11.573279172
4,2988000,32600.596125,10.910507404618475,0.0,0.0,0,10.73726613
4,3096000,32573.289902,10.521088469638244,0.0,0.0,0,10.746304464
4,3144000,32564.19799,10.357569335241731,0.0,0.0,0,10.749745588
4,3204000,32606.670393,10.176863418539327,0.0,0.0,0,10.735940797
