CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,600003,4549.058345,7.581725999703335,0.0,0.0,0,76.942870662
1,972012,7394.418271,7.607332287049954,0.0,0.0,0,47.335514397
1,1332005,10127.607859,7.603280662610125,0.0,0.0,0,34.560059641
1,1704004,12912.746726,7.577885219753005,0.0,0.0,0,27.106070388
1,2064060,15665.562617,7.589683738360319,0.0,0.0,0,22.342971219
4,600003,6546.338726,10.910509990783378,0.0,0.0,0,53.467219484
4,828007,9036.922282,10.91406507674452,0.0,0.0,0,38.73220356
4,1056010,11518.46245,10.907531604814348,0.0,0.0,0,30.389134181
4,1284012,14016.820184,10.916424600393144,0.0,0.0,0,24.97139747
4,1500022,16349.792124,10.899701553710546,0.0,0.0,0,21.408863427
4,1728042,18846.588767,10.906325637339835,0.0,0.0,0,18.573413884
4,1956006,21324.5598,10.902093245112743,0.0,0.0,0,16.415781217
4,2184023,23825.73179,10.90910296732223,0.0,0.0,0,14.691074507
4,2388077,26045.542491,10.906491914205446,0.0,0.0,0,13.440009006
4,2592097,28255.429079,10.900606373526916,0.0,0.0,0,12.388484715
4,2772015,30214.088398,10.899684308346096,0.0,0.0,0,11.586383047
4,2988008,32600.596125,10.910478193164142,0.0,0.0,0,10.738331797
