CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,324000,1534.475836,4.736036530864197,36.54885302917935,14.291698,41.98241524555025,391.03
1,610000,2881.027951,4.722996640983607,46.38932848075132,9.661691000000001,62.10093036508826,208.274
1,820000,3872.116886,4.722093763414634,62.22095529399618,9.642256999999999,62.22609499000079,154.968
1,955000,4528.746217,4.742142635602094,75.65348417723908,10.024011,59.85627908828113,132.499
1,1098000,5193.770937,4.730210325136612,91.16619062456724,10.532977,56.96395235648952,115.536
1,1197000,5646.42111,4.717143784461153,102.591113536707,10.902768,55.03189648720398,106.274
1,1328000,6271.230729,4.722312295933735,118.76636568848758,11.364516,52.79591317395303,95.688
1,1425000,6767.578786,4.749178095438596,142.14955284140248,12.604543,47.60188449513799,88.671
1,1548000,7312.970772,4.724141325581395,164.1343667361289,13.468701999999999,44.54772256450548,82.059
1,1704000,8070.699326,4.736325895539906,199.932270862753,14.865964,40.36065202364273,74.355
4,402000,3477.99876,8.651738208955225,29.839472540211563,5.148055,116.54887136986686,172.525
4,578000,5003.37728,8.656362076124568,42.75935530133742,5.128215,116.99977477543355,119.932
4,697000,6035.306543,8.658976388809181,53.22190149556961,5.291694000000001,113.3852410967074,99.427
4,712000,6170.300288,8.66615208988764,55.37856929863346,5.385732,111.40546911728991,97.253
4,910000,7872.46605,8.651061593406594,81.43813871725241,6.207784999999999,96.6528318877023,76.227
4,1065000,9224.524937,8.661525762441315,105.20085772257747,6.843947,87.66870929888849,65.056
4,1221000,10563.19431,8.651264791154793,133.3461944659579,7.575664,79.20097829048385,56.812
4,1328000,11495.794455,8.65647172816265,159.45184461556144,8.324343,72.07776037099865,52.206
4,1418000,12275.461353,8.65688388787024,176.30456125997136,8.619530000000001,69.60936385162532,48.89
4,1572000,13617.175798,8.66232557124682,227.82429550301765,10.041128,59.75424275041608,44.074
4,1836000,15897.829946,8.658948772331154,335.4243066408837,12.662602999999999,47.38362246688142,37.751
4,1945000,16866.724763,8.671837924421594,406.01978361669245,14.448214,41.527624106342834,35.585
4,2130000,18450.184502,8.662058451643192,531.2172630025821,17.281560000000002,34.719087860123736,32.532
4,2245000,19439.494573,8.659017627171492,646.2987336852674,19.955766,30.066498073789802,30.877
4,2367000,20519.835841,8.669132167722855,812.1608327066384,23.758953,25.253638070667506,29.254
8,500000,5360.110061,10.720220122,72.1132110862012,8.073723,74.3151579512946,111.959
8,880000,9440.790509,10.728171032954545,134.82812696615076,8.571833,69.996697322498,63.576
8,1164000,12482.316718,10.72363979209622,198.61407777084634,9.551351,62.81833847379286,48.09
8,1298000,13927.899905,10.730277276579352,233.05828171040116,10.045045,59.73094197188763,43.101
8,1557000,16687.061965,10.717445064226077,318.0297968146316,11.441758,52.439494000834486,35.977
8,1745000,18724.254151,10.730231605157593,400.0114451443897,12.826767,46.77718087496249,32.066
8,1885000,20199.299758,10.715808890185677,489.8378523851174,14.56092,41.206187521118174,29.726
8,2049000,21938.644923,10.707000938506589,609.9452340067955,16.694811,35.93931072355356,27.371
8,2147000,23014.076944,10.719178828132279,700.6580308895105,18.28227,32.818681706374534,26.093
8,2294000,24588.148512,10.718460554489974,817.9129135276777,19.976705000000003,30.034983246736633,24.424
8,2363000,25322.866548,10.716405648751588,893.7483555405634,21.196136,28.307046152185475,23.716
8,2556000,27432.333577,10.732524873630673,1145.8206732745628,25.085452,23.918245523341575,21.893
8,2687000,28832.292167,10.730291093040565,1399.2200086409678,29.147152,20.585201600485703,20.831
8,2850000,30528.136766,10.711626935438597,1836.3470549372364,36.133801,16.604951137025413,19.677
8,2914000,31272.803086,10.731915952642415,2135.2972719700124,41.01479,14.628869244484733,19.208
