PID   USER     TIME  COMMAND
    1 root      0:01 bash /init
    2 root      0:00 [kthreadd]
    3 root      0:00 [rcu_gp]
    4 root      0:00 [slub_flushwq]
    5 root      0:00 [netns]
    7 root      0:00 [kworker/0:0H-ev]
    9 root      0:00 [mm_percpu_wq]
   10 root      0:00 [kworker/u16:1-e]
   11 root      0:00 [rcu_tasks_kthre]
   12 root      0:00 [rcu_tasks_trace]
   13 root      0:00 [ksoftirqd/0]
   14 root      0:00 [rcu_preempt]
   15 root      0:00 [rcuog/0]
   16 root      0:00 [rcuop/0]
   17 root      0:00 [rcub/0]
   18 root      0:00 [rcu_exp_gp_kthr]
   19 root      0:00 [rcu_exp_par_gp_]
   20 root      0:00 [migration/0]
   21 root      0:00 [idle_inject/0]
   23 root      0:00 [cpuhp/0]
   24 root      0:00 [cpuhp/1]
   25 root      0:00 [idle_inject/1]
   26 root      0:00 [migration/1]
   27 root      0:00 [ksoftirqd/1]
   28 root      0:00 [kworker/1:0-eve]
   29 root      0:00 [kworker/1:0H]
   30 root      0:00 [rcuop/1]
   31 root      0:00 [cpuhp/2]
   32 root      0:00 [idle_inject/2]
   33 root      0:00 [migration/2]
   34 root      0:00 [ksoftirqd/2]
   35 root      0:00 [kworker/2:0-mm_]
   36 root      0:00 [kworker/2:0H]
   37 root      0:00 [rcuop/2]
   38 root      0:00 [cpuhp/3]
   39 root      0:00 [idle_inject/3]
   40 root      0:00 [migration/3]
   41 root      0:00 [ksoftirqd/3]
   42 root      0:00 [kworker/3:0-mm_]
   43 root      0:00 [kworker/3:0H]
   44 root      0:00 [rcuop/3]
   45 root      0:00 [cpuhp/4]
   46 root      0:00 [idle_inject/4]
   47 root      0:00 [migration/4]
   48 root      0:00 [ksoftirqd/4]
   49 root      0:00 [kworker/4:0-eve]
   50 root      0:00 [kworker/4:0H-ev]
   51 root      0:00 [rcuog/4]
   52 root      0:00 [rcuop/4]
   53 root      0:00 [cpuhp/5]
   54 root      0:00 [idle_inject/5]
   55 root      0:00 [migration/5]
   56 root      0:00 [ksoftirqd/5]
   57 root      0:00 [kworker/5:0-eve]
   58 root      0:00 [kworker/5:0H]
   59 root      0:00 [rcuop/5]
   60 root      0:00 [cpuhp/6]
   61 root      0:00 [idle_inject/6]
   62 root      0:00 [migration/6]
   63 root      0:00 [ksoftirqd/6]
   65 root      0:00 [kworker/6:0H]
   66 root      0:00 [rcuop/6]
   67 root      0:00 [cpuhp/7]
   68 root      0:00 [idle_inject/7]
   69 root      0:00 [migration/7]
   70 root      0:00 [ksoftirqd/7]
   72 root      0:00 [kworker/7:0H-ev]
   73 root      0:00 [rcuop/7]
   74 root      0:00 [inet_frag_wq]
   75 root      0:00 [kauditd]
   76 root      0:00 [khungtaskd]
   77 root      0:00 [oom_reaper]
   78 root      0:00 [writeback]
   79 root      0:00 [kcompactd0]
   80 root      0:00 [khugepaged]
   81 root      0:00 [kblockd]
   82 root      0:00 [blkcg_punt_bio]
   83 root      0:00 [edac-poller]
   84 root      0:00 [devfreq_wq]
   85 root      0:00 [watchdogd]
   86 root      0:00 [kworker/5:1-eve]
   87 root      0:00 [kworker/0:1H-kb]
   88 root      0:00 [kworker/u16:2-e]
   89 root      0:00 [kswapd0]
   90 root      0:00 [kworker/u17:0-t]
   91 root      0:00 [erofs_worker/0]
   99 root      0:00 [kthrotld]
  100 root      0:00 [dmabuf-deferred]
  101 root      0:00 [nvme-wq]
  102 root      0:00 [nvme-reset-wq]
  103 root      0:00 [nvme-delete-wq]
  104 root      0:00 [uas]
  105 root      0:00 [dm_bufio_cache]
  106 root      0:00 [hwrng]
  107 root      0:00 [mld]
  108 root      0:00 [ipv6_addrconf]
  111 root      0:00 [irq/30-15110000]
  112 root      0:00 [acpm_log]
  115 root      0:00 [trusty-nop-0]
  116 root      0:00 [trusty-nop-1]
  117 root      0:00 [trusty-nop-2]
  118 root      0:00 [trusty-nop-3]
  119 root      0:00 [trusty-nop-4]
  120 root      0:00 [trusty-nop-5]
  121 root      0:00 [trusty-nop-6]
  122 root      0:00 [trusty-nop-7]
  123 root      0:00 [kdbgd]
  124 root      0:00 [perf_mon_update]
  125 root      0:00 [PT_resize]
  127 root      0:00 [kworker/1:1-eve]
  128 root      0:00 [kworker/3:1-eve]
